WARD,population,minority_population,income,n,ward_name
1,115120,90130,95200,1,Etobicoke North
2,117200,37210,146600,3,Etobicoke Centre
3,139920,48675,127200,13,Etobicoke-Lakeshore
4,104715,30445,127200,23,Parkdale-High Park
5,115675,67120,88700,7,York South-Weston
6,107355,56405,107500,9,York Centre
7,111200,86975,85700,0,Humber River-Black Creek
8,114820,42265,176400,4,Eglinton-Lawrence
9,104730,35215,107300,0,Davenport
10,135400,70400,118200,157,Spadina-Fort York
11,102385,38445,174800,46,University-Rosedale
12,114095,39925,160400,14,Toronto-St. Paul's
13,116930,67145,89400,61,Toronto Centre
14,104555,35815,130800,12,Toronto-Danforth
15,101025,47415,224800,2,Don Valley West
16,94335,59525,100300,2,Don Valley East
17,112590,83870,103800,19,Don Valley North
18,117130,83210,106300,14,Willowdale
19,108500,39225,130600,3,Beaches-East York
20,110095,67555,102200,3,Scarborough Southwest
21,111560,83025,91500,11,Scarborough Centre
22,103690,85350,93000,1,Scarborough-Agincourt
23,94025,86675,100000,1,Scarborough North
24,102755,78525,92700,2,Scarborough-Guildwood
25,101485,76755,121800,1,Scarborough-Rouge Park
